v4_0,mmm-yy,Time,uk-only,Geography,sic-unofficial,UnofficialStandardIndustrialClassification
101.1114,Oct-22,Oct-22,K02000001,United Kingdom,K--N,K-N : Business Services and Finance
101.398,Oct-22,Oct-22,K02000001,United Kingdom,I,I : Accommodation and food service activities
93.809,Oct-22,Oct-22,K02000001,United Kingdom,J,J : Information and communication
101.272,Oct-22,Oct-22,K02000001,United Kingdom,B--E,B-E : Production Industries
118.788,Oct-22,Oct-22,K02000001,United Kingdom,B,B : Mining and quarrying
107.644,Oct-22,Oct-22,K02000001,United Kingdom,D,"D : Electricity, gas steam and air conditioning"
100.1242,Sep-22,Sep-22,K02000001,United Kingdom,I,I : Accommodation and food service activities
101.2096,Sep-22,Sep-22,K02000001,United Kingdom,P,P : Education
94.4465,Sep-22,Sep-22,K02000001,United Kingdom,Q,Q : Human health and social work activities
110.263,Sep-22,Sep-22,K02000001,United Kingdom,D,"D : Electricity, gas steam and air conditioning"
99.5825,Sep-22,Sep-22,K02000001,United Kingdom,G,"G : Wholesale, retail and motor trade"
98.9259,Sep-22,Sep-22,K02000001,United Kingdom,H,H : Transportation and storage
100.8245,Sep-22,Sep-22,K02000001,United Kingdom,B--E,B-E : Production Industries
98.1805,Sep-22,Sep-22,K02000001,United Kingdom,E,"E : Water supply, sewerage and waste management"
96.6281,Sep-22,Sep-22,K02000001,United Kingdom,C,C : Manufacturing
92.6722,Sep-22,Sep-22,K02000001,United Kingdom,J,J : Information and communication
122.1031,Sep-22,Sep-22,K02000001,United Kingdom,B,B : Mining and quarrying
95.8881,Sep-22,Sep-22,K02000001,United Kingdom,O,O : Public administration and defence
96.9851,Sep-22,Sep-22,K02000001,United Kingdom,O--T,O-T : Government and Other Services
99.1908,Sep-22,Sep-22,K02000001,United Kingdom,A--T,A-T : Monthly GDP
110.8118,Sep-22,Sep-22,K02000001,United Kingdom,A,A : Agriculture
98.1302,Sep-22,Sep-22,K02000001,United Kingdom,F,F : Construction
101.0089,Sep-22,Sep-22,K02000001,United Kingdom,S,S : Other Service Activities
78.9163,Sep-22,Sep-22,K02000001,United Kingdom,T,T : Activities of Households as employers
99.7041,Sep-22,Sep-22,K02000001,United Kingdom,G-and-I,"G & I : Distribution, Hotels and Restaurants"
98.8373,Sep-22,Sep-22,K02000001,United Kingdom,M,"M : Professional, scientific and technical activities"
98.8966,Sep-22,Sep-22,K02000001,United Kingdom,G--T,G-T : Index of Services
95.8551,Sep-22,Sep-22,K02000001,United Kingdom,R,"R : Arts, Entertainment and Recreation"
94.979,Sep-22,Sep-22,K02000001,United Kingdom,H-and-J,"H & J : Transport, Storage and Communications"
100.6758,Sep-22,Sep-22,K02000001,United Kingdom,L,L : Real estate activities
100.9297,Sep-22,Sep-22,K02000001,United Kingdom,K--N,K-N : Business Services and Finance
104.7482,Sep-22,Sep-22,K02000001,United Kingdom,K,K : Financial and insurance activities
99.0354,Sep-22,Sep-22,K02000001,United Kingdom,N,N : Administrative and support service activities
101.9217,Aug-22,Aug-22,K02000001,United Kingdom,G-and-I,"G & I : Distribution, Hotels and Restaurants"
101.3403,Aug-22,Aug-22,K02000001,United Kingdom,P,P : Education
93.2574,Aug-22,Aug-22,K02000001,United Kingdom,Q,Q : Human health and social work activities
102.4925,Aug-22,Aug-22,K02000001,United Kingdom,B--E,B-E : Production Industries
95.4188,Aug-22,Aug-22,K02000001,United Kingdom,O,O : Public administration and defence
106.8783,Aug-22,Aug-22,K02000001,United Kingdom,K,K : Financial and insurance activities
97.5425,Aug-22,Aug-22,K02000001,United Kingdom,R,"R : Arts, Entertainment and Recreation"
96.5569,Aug-22,Aug-22,K02000001,United Kingdom,O--T,O-T : Government and Other Services
94.4222,Aug-22,Aug-22,K02000001,United Kingdom,J,J : Information and communication
100.5906,Aug-22,Aug-22,K02000001,United Kingdom,L,L : Real estate activities
109.7145,Aug-22,Aug-22,K02000001,United Kingdom,A,A : Agriculture
99.869,Aug-22,Aug-22,K02000001,United Kingdom,A--T,A-T : Monthly GDP
99.7148,Aug-22,Aug-22,K02000001,United Kingdom,F,F : Construction
95.843,Aug-22,Aug-22,K02000001,United Kingdom,H,H : Transportation and storage
101.5596,Aug-22,Aug-22,K02000001,United Kingdom,K--N,K-N : Business Services and Finance
99.3829,Aug-22,Aug-22,K02000001,United Kingdom,G--T,G-T : Index of Services
102.203,Aug-22,Aug-22,K02000001,United Kingdom,I,I : Accommodation and food service activities
98.5119,Aug-22,Aug-22,K02000001,United Kingdom,C,C : Manufacturing
101.8404,Aug-22,Aug-22,K02000001,United Kingdom,G,"G : Wholesale, retail and motor trade"
99.8915,Aug-22,Aug-22,K02000001,United Kingdom,N,N : Administrative and support service activities
100.8272,Aug-22,Aug-22,K02000001,United Kingdom,S,S : Other Service Activities
99.024,Aug-22,Aug-22,K02000001,United Kingdom,M,"M : Professional, scientific and technical activities"
94.9374,Aug-22,Aug-22,K02000001,United Kingdom,H-and-J,"H & J : Transport, Storage and Communications"
76.5713,Aug-22,Aug-22,K02000001,United Kingdom,T,T : Activities of Households as employers
98.666,Aug-22,Aug-22,K02000001,United Kingdom,E,"E : Water supply, sewerage and waste management"
111.1704,Aug-22,Aug-22,K02000001,United Kingdom,D,"D : Electricity, gas steam and air conditioning"
122.9372,Aug-22,Aug-22,K02000001,United Kingdom,B,B : Mining and quarrying
101.5169,Jul-22,Jul-22,K02000001,United Kingdom,K--N,K-N : Business Services and Finance
101.0668,Jul-22,Jul-22,K02000001,United Kingdom,G,"G : Wholesale, retail and motor trade"
132.6467,Jul-22,Jul-22,K02000001,United Kingdom,B,B : Mining and quarrying
99.3756,Jul-22,Jul-22,K02000001,United Kingdom,G--T,G-T : Index of Services
95.8049,Jul-22,Jul-22,K02000001,United Kingdom,H-and-J,"H & J : Transport, Storage and Communications"
99.0089,Jul-22,Jul-22,K02000001,United Kingdom,N,N : Administrative and support service activities
96.2582,Jul-22,Jul-22,K02000001,United Kingdom,O--T,O-T : Government and Other Services
107.9654,Jul-22,Jul-22,K02000001,United Kingdom,K,K : Financial and insurance activities
98.2593,Jul-22,Jul-22,K02000001,United Kingdom,E,"E : Water supply, sewerage and waste management"
100.3958,Jul-22,Jul-22,K02000001,United Kingdom,H,H : Transportation and storage
100.5263,Jul-22,Jul-22,K02000001,United Kingdom,L,L : Real estate activities
100.5688,Jul-22,Jul-22,K02000001,United Kingdom,S,S : Other Service Activities
93.1165,Jul-22,Jul-22,K02000001,United Kingdom,J,J : Information and communication
76.7738,Jul-22,Jul-22,K02000001,United Kingdom,T,T : Activities of Households as employers
113.6739,Jul-22,Jul-22,K02000001,United Kingdom,D,"D : Electricity, gas steam and air conditioning"
99.9027,Jul-22,Jul-22,K02000001,United Kingdom,A--T,A-T : Monthly GDP
107.8052,Jul-22,Jul-22,K02000001,United Kingdom,A,A : Agriculture
100.2762,Jul-22,Jul-22,K02000001,United Kingdom,F,F : Construction
98.4988,Jul-22,Jul-22,K02000001,United Kingdom,M,"M : Professional, scientific and technical activities"
102.2021,Jul-22,Jul-22,K02000001,United Kingdom,P,P : Education
104.2882,Jul-22,Jul-22,K02000001,United Kingdom,I,I : Accommodation and food service activities
92.4712,Jul-22,Jul-22,K02000001,United Kingdom,Q,Q : Human health and social work activities
96.5914,Jul-22,Jul-22,K02000001,United Kingdom,R,"R : Arts, Entertainment and Recreation"
94.7182,Jul-22,Jul-22,K02000001,United Kingdom,O,O : Public administration and defence
101.774,Jul-22,Jul-22,K02000001,United Kingdom,G-and-I,"G & I : Distribution, Hotels and Restaurants"
102.6632,Jul-22,Jul-22,K02000001,United Kingdom,B--E,B-E : Production Industries
97.7341,Jul-22,Jul-22,K02000001,United Kingdom,C,C : Manufacturing
93.1658,Jun-22,Jun-22,K02000001,United Kingdom,J,J : Information and communication
97.9677,Jun-22,Jun-22,K02000001,United Kingdom,N,N : Administrative and support service activities
93.945,Jun-22,Jun-22,K02000001,United Kingdom,O,O : Public administration and defence
100.7234,Jun-22,Jun-22,K02000001,United Kingdom,E,"E : Water supply, sewerage and waste management"
98.9175,Jun-22,Jun-22,K02000001,United Kingdom,G--T,G-T : Index of Services
94.3224,Jun-22,Jun-22,K02000001,United Kingdom,H,H : Transportation and storage
101.2273,Jun-22,Jun-22,K02000001,United Kingdom,G,"G : Wholesale, retail and motor trade"
106.5327,Jun-22,Jun-22,K02000001,United Kingdom,I,I : Accommodation and food service activities
100.4616,Jun-22,Jun-22,K02000001,United Kingdom,L,L : Real estate activities
102.5398,Jun-22,Jun-22,K02000001,United Kingdom,B--E,B-E : Production Industries
97.4323,Jun-22,Jun-22,K02000001,United Kingdom,C,C : Manufacturing
115.4105,Jun-22,Jun-22,K02000001,United Kingdom,D,"D : Electricity, gas steam and air conditioning"
102.3899,Jun-22,Jun-22,K02000001,United Kingdom,G-and-I,"G & I : Distribution, Hotels and Restaurants"
101.9743,Jun-22,Jun-22,K02000001,United Kingdom,P,P : Education
99.3608,Jun-22,Jun-22,K02000001,United Kingdom,A--T,A-T : Monthly GDP
97.9619,Jun-22,Jun-22,K02000001,United Kingdom,F,F : Construction
105.4837,Jun-22,Jun-22,K02000001,United Kingdom,A,A : Agriculture
93.5834,Jun-22,Jun-22,K02000001,United Kingdom,H-and-J,"H & J : Transport, Storage and Communications"
98.3141,Jun-22,Jun-22,K02000001,United Kingdom,M,"M : Professional, scientific and technical activities"
91.6574,Jun-22,Jun-22,K02000001,United Kingdom,Q,Q : Human health and social work activities
95.612,Jun-22,Jun-22,K02000001,United Kingdom,O--T,O-T : Government and Other Services
101.3424,Jun-22,Jun-22,K02000001,United Kingdom,K--N,K-N : Business Services and Finance
108.1869,Jun-22,Jun-22,K02000001,United Kingdom,K,K : Financial and insurance activities
96.4082,Jun-22,Jun-22,K02000001,United Kingdom,R,"R : Arts, Entertainment and Recreation"
98.6781,Jun-22,Jun-22,K02000001,United Kingdom,S,S : Other Service Activities
82.8128,Jun-22,Jun-22,K02000001,United Kingdom,T,T : Activities of Households as employers
129.1609,Jun-22,Jun-22,K02000001,United Kingdom,B,B : Mining and quarrying
83.9718,May-22,May-22,K02000001,United Kingdom,T,T : Activities of Households as employers
94.7825,May-22,May-22,K02000001,United Kingdom,Q,Q : Human health and social work activities
104.0761,May-22,May-22,K02000001,United Kingdom,B--E,B-E : Production Industries
102.5069,May-22,May-22,K02000001,United Kingdom,G-and-I,"G & I : Distribution, Hotels and Restaurants"
93.1475,May-22,May-22,K02000001,United Kingdom,H,H : Transportation and storage
104.6589,May-22,May-22,K02000001,United Kingdom,I,I : Accommodation and food service activities
93.4789,May-22,May-22,K02000001,United Kingdom,O,O : Public administration and defence
99.1059,May-22,May-22,K02000001,United Kingdom,M,"M : Professional, scientific and technical activities"
99.3706,May-22,May-22,K02000001,United Kingdom,C,C : Manufacturing
99.021,May-22,May-22,K02000001,United Kingdom,E,"E : Water supply, sewerage and waste management"
131.2638,May-22,May-22,K02000001,United Kingdom,B,B : Mining and quarrying
99.346,May-22,May-22,K02000001,United Kingdom,G--T,G-T : Index of Services
95.0456,May-22,May-22,K02000001,United Kingdom,R,"R : Arts, Entertainment and Recreation"
116.3865,May-22,May-22,K02000001,United Kingdom,D,"D : Electricity, gas steam and air conditioning"
100.021,May-22,May-22,K02000001,United Kingdom,A--T,A-T : Monthly GDP
100.395,May-22,May-22,K02000001,United Kingdom,F,F : Construction
103.6851,May-22,May-22,K02000001,United Kingdom,A,A : Agriculture
101.7268,May-22,May-22,K02000001,United Kingdom,K--N,K-N : Business Services and Finance
93.2439,May-22,May-22,K02000001,United Kingdom,H-and-J,"H & J : Transport, Storage and Communications"
108.3583,May-22,May-22,K02000001,United Kingdom,K,K : Financial and insurance activities
99.1131,May-22,May-22,K02000001,United Kingdom,N,N : Administrative and support service activities
100.3715,May-22,May-22,K02000001,United Kingdom,L,L : Real estate activities
101.9996,May-22,May-22,K02000001,United Kingdom,P,P : Education
101.908,May-22,May-22,K02000001,United Kingdom,G,"G : Wholesale, retail and motor trade"
96.6173,May-22,May-22,K02000001,United Kingdom,O--T,O-T : Government and Other Services
93.3214,May-22,May-22,K02000001,United Kingdom,J,J : Information and communication
99.0423,May-22,May-22,K02000001,United Kingdom,S,S : Other Service Activities
103.5436,Apr-22,Apr-22,K02000001,United Kingdom,G,"G : Wholesale, retail and motor trade"
93.4344,Apr-22,Apr-22,K02000001,United Kingdom,O,O : Public administration and defence
93.3442,Apr-22,Apr-22,K02000001,United Kingdom,Q,Q : Human health and social work activities
95.7124,Apr-22,Apr-22,K02000001,United Kingdom,O--T,O-T : Government and Other Services
94.7546,Apr-22,Apr-22,K02000001,United Kingdom,H,H : Transportation and storage
100.8014,Apr-22,Apr-22,K02000001,United Kingdom,P,P : Education
98.5462,Apr-22,Apr-22,K02000001,United Kingdom,C,C : Manufacturing
101.0274,Apr-22,Apr-22,K02000001,United Kingdom,E,"E : Water supply, sewerage and waste management"
103.7127,Apr-22,Apr-22,K02000001,United Kingdom,B--E,B-E : Production Industries
92.8673,Apr-22,Apr-22,K02000001,United Kingdom,J,J : Information and communication
97.6192,Apr-22,Apr-22,K02000001,United Kingdom,N,N : Administrative and support service activities
93.5501,Apr-22,Apr-22,K02000001,United Kingdom,H-and-J,"H & J : Transport, Storage and Communications"
83.6392,Apr-22,Apr-22,K02000001,United Kingdom,T,T : Activities of Households as employers
96.1422,Apr-22,Apr-22,K02000001,United Kingdom,S,S : Other Service Activities
102.5081,Apr-22,Apr-22,K02000001,United Kingdom,A,A : Agriculture
99.5487,Apr-22,Apr-22,K02000001,United Kingdom,A--T,A-T : Monthly GDP
99.6915,Apr-22,Apr-22,K02000001,United Kingdom,F,F : Construction
108.564,Apr-22,Apr-22,K02000001,United Kingdom,K,K : Financial and insurance activities
98.8803,Apr-22,Apr-22,K02000001,United Kingdom,G--T,G-T : Index of Services
100.1133,Apr-22,Apr-22,K02000001,United Kingdom,L,L : Real estate activities
95.5677,Apr-22,Apr-22,K02000001,United Kingdom,M,"M : Professional, scientific and technical activities"
104.112,Apr-22,Apr-22,K02000001,United Kingdom,G-and-I,"G & I : Distribution, Hotels and Restaurants"
100.5442,Apr-22,Apr-22,K02000001,United Kingdom,K--N,K-N : Business Services and Finance
106.1734,Apr-22,Apr-22,K02000001,United Kingdom,I,I : Accommodation and food service activities
97.4524,Apr-22,Apr-22,K02000001,United Kingdom,R,"R : Arts, Entertainment and Recreation"
130.3404,Apr-22,Apr-22,K02000001,United Kingdom,B,B : Mining and quarrying
119.4035,Apr-22,Apr-22,K02000001,United Kingdom,D,"D : Electricity, gas steam and air conditioning"
98.6787,Mar-22,Mar-22,K02000001,United Kingdom,G--T,G-T : Index of Services
103.0093,Mar-22,Mar-22,K02000001,United Kingdom,G-and-I,"G & I : Distribution, Hotels and Restaurants"
102.2609,Mar-22,Mar-22,K02000001,United Kingdom,G,"G : Wholesale, retail and motor trade"
97.838,Mar-22,Mar-22,K02000001,United Kingdom,S,S : Other Service Activities
103.1836,Mar-22,Mar-22,K02000001,United Kingdom,B--E,B-E : Production Industries
93.1178,Mar-22,Mar-22,K02000001,United Kingdom,J,J : Information and communication
99.6765,Mar-22,Mar-22,K02000001,United Kingdom,L,L : Real estate activities
105.7318,Mar-22,Mar-22,K02000001,United Kingdom,I,I : Accommodation and food service activities
119.5989,Mar-22,Mar-22,K02000001,United Kingdom,D,"D : Electricity, gas steam and air conditioning"
128.4761,Mar-22,Mar-22,K02000001,United Kingdom,B,B : Mining and quarrying
93.4271,Mar-22,Mar-22,K02000001,United Kingdom,O,O : Public administration and defence
99.6502,Mar-22,Mar-22,K02000001,United Kingdom,P,P : Education
98.1838,Mar-22,Mar-22,K02000001,United Kingdom,C,C : Manufacturing
108.9739,Mar-22,Mar-22,K02000001,United Kingdom,K,K : Financial and insurance activities
97.1899,Mar-22,Mar-22,K02000001,United Kingdom,Q,Q : Human health and social work activities
100.0657,Mar-22,Mar-22,K02000001,United Kingdom,K--N,K-N : Business Services and Finance
82.1239,Mar-22,Mar-22,K02000001,United Kingdom,T,T : Activities of Households as employers
100.1588,Mar-22,Mar-22,K02000001,United Kingdom,E,"E : Water supply, sewerage and waste management"
99.3093,Mar-22,Mar-22,K02000001,United Kingdom,A--T,A-T : Monthly GDP
101.8698,Mar-22,Mar-22,K02000001,United Kingdom,A,A : Agriculture
99.5322,Mar-22,Mar-22,K02000001,United Kingdom,F,F : Construction
96.6752,Mar-22,Mar-22,K02000001,United Kingdom,O--T,O-T : Government and Other Services
92.1407,Mar-22,Mar-22,K02000001,United Kingdom,H,H : Transportation and storage
94.2121,Mar-22,Mar-22,K02000001,United Kingdom,M,"M : Professional, scientific and technical activities"
92.7334,Mar-22,Mar-22,K02000001,United Kingdom,H-and-J,"H & J : Transport, Storage and Communications"
93.2737,Mar-22,Mar-22,K02000001,United Kingdom,R,"R : Arts, Entertainment and Recreation"
97.1991,Mar-22,Mar-22,K02000001,United Kingdom,N,N : Administrative and support service activities
97.2128,Feb-22,Feb-22,K02000001,United Kingdom,N,N : Administrative and support service activities
94.5797,Feb-22,Feb-22,K02000001,United Kingdom,R,"R : Arts, Entertainment and Recreation"
93.3682,Feb-22,Feb-22,K02000001,United Kingdom,O,O : Public administration and defence
95.7916,Feb-22,Feb-22,K02000001,United Kingdom,S,S : Other Service Activities
129.1521,Feb-22,Feb-22,K02000001,United Kingdom,B,B : Mining and quarrying
99.7192,Feb-22,Feb-22,K02000001,United Kingdom,E,"E : Water supply, sewerage and waste management"
99.4736,Feb-22,Feb-22,K02000001,United Kingdom,L,L : Real estate activities
98.293,Feb-22,Feb-22,K02000001,United Kingdom,C,C : Manufacturing
104.5016,Feb-22,Feb-22,K02000001,United Kingdom,G-and-I,"G & I : Distribution, Hotels and Restaurants"
93.4827,Feb-22,Feb-22,K02000001,United Kingdom,H-and-J,"H & J : Transport, Storage and Communications"
103.7613,Feb-22,Feb-22,K02000001,United Kingdom,G,"G : Wholesale, retail and motor trade"
107.2246,Feb-22,Feb-22,K02000001,United Kingdom,I,I : Accommodation and food service activities
100.0851,Feb-22,Feb-22,K02000001,United Kingdom,P,P : Education
95.5629,Feb-22,Feb-22,K02000001,United Kingdom,J,J : Information and communication
109.2593,Feb-22,Feb-22,K02000001,United Kingdom,K,K : Financial and insurance activities
96.3369,Feb-22,Feb-22,K02000001,United Kingdom,O--T,O-T : Government and Other Services
93.9525,Feb-22,Feb-22,K02000001,United Kingdom,T,T : Activities of Households as employers
101.5894,Feb-22,Feb-22,K02000001,United Kingdom,A,A : Agriculture
96.323,Feb-22,Feb-22,K02000001,United Kingdom,F,F : Construction
99.33,Feb-22,Feb-22,K02000001,United Kingdom,A--T,A-T : Monthly GDP
90.0322,Feb-22,Feb-22,K02000001,United Kingdom,H,H : Transportation and storage
93.9522,Feb-22,Feb-22,K02000001,United Kingdom,M,"M : Professional, scientific and technical activities"
99.9926,Feb-22,Feb-22,K02000001,United Kingdom,K--N,K-N : Business Services and Finance
103.5045,Feb-22,Feb-22,K02000001,United Kingdom,B--E,B-E : Production Industries
98.8913,Feb-22,Feb-22,K02000001,United Kingdom,G--T,G-T : Index of Services
95.9774,Feb-22,Feb-22,K02000001,United Kingdom,Q,Q : Human health and social work activities
125.269,Feb-22,Feb-22,K02000001,United Kingdom,D,"D : Electricity, gas steam and air conditioning"
95.1012,Jan-22,Jan-22,K02000001,United Kingdom,J,J : Information and communication
99.305,Jan-22,Jan-22,K02000001,United Kingdom,C,C : Manufacturing
92.326,Jan-22,Jan-22,K02000001,United Kingdom,H-and-J,"H & J : Transport, Storage and Communications"
95.7508,Jan-22,Jan-22,K02000001,United Kingdom,O--T,O-T : Government and Other Services
100.6423,Jan-22,Jan-22,K02000001,United Kingdom,E,"E : Water supply, sewerage and waste management"
104.4154,Jan-22,Jan-22,K02000001,United Kingdom,B--E,B-E : Production Industries
87.7247,Jan-22,Jan-22,K02000001,United Kingdom,H,H : Transportation and storage
99.1729,Jan-22,Jan-22,K02000001,United Kingdom,L,L : Real estate activities
93.4016,Jan-22,Jan-22,K02000001,United Kingdom,M,"M : Professional, scientific and technical activities"
103.3306,Jan-22,Jan-22,K02000001,United Kingdom,G-and-I,"G & I : Distribution, Hotels and Restaurants"
109.4892,Jan-22,Jan-22,K02000001,United Kingdom,K,K : Financial and insurance activities
99.5863,Jan-22,Jan-22,K02000001,United Kingdom,K--N,K-N : Business Services and Finance
94.4844,Jan-22,Jan-22,K02000001,United Kingdom,Q,Q : Human health and social work activities
95.8275,Jan-22,Jan-22,K02000001,United Kingdom,N,N : Administrative and support service activities
96.8638,Jan-22,Jan-22,K02000001,United Kingdom,S,S : Other Service Activities
95.7164,Jan-22,Jan-22,K02000001,United Kingdom,T,T : Activities of Households as employers
128.461,Jan-22,Jan-22,K02000001,United Kingdom,B,B : Mining and quarrying
127.738,Jan-22,Jan-22,K02000001,United Kingdom,D,"D : Electricity, gas steam and air conditioning"
101.3249,Jan-22,Jan-22,K02000001,United Kingdom,A,A : Agriculture
96.2788,Jan-22,Jan-22,K02000001,United Kingdom,F,F : Construction
98.8868,Jan-22,Jan-22,K02000001,United Kingdom,A--T,A-T : Monthly GDP
92.9597,Jan-22,Jan-22,K02000001,United Kingdom,O,O : Public administration and defence
91.9004,Jan-22,Jan-22,K02000001,United Kingdom,R,"R : Arts, Entertainment and Recreation"
98.2231,Jan-22,Jan-22,K02000001,United Kingdom,G--T,G-T : Index of Services
96.2703,Jan-22,Jan-22,K02000001,United Kingdom,I,I : Accommodation and food service activities
100.6214,Jan-22,Jan-22,K02000001,United Kingdom,P,P : Education
105.3539,Jan-22,Jan-22,K02000001,United Kingdom,G,"G : Wholesale, retail and motor trade"
100.2864,Dec-21,Dec-21,K02000001,United Kingdom,G-and-I,"G & I : Distribution, Hotels and Restaurants"
98.9642,Dec-21,Dec-21,K02000001,United Kingdom,L,L : Real estate activities
122.655,Dec-21,Dec-21,K02000001,United Kingdom,B,B : Mining and quarrying
87.9091,Dec-21,Dec-21,K02000001,United Kingdom,H,H : Transportation and storage
99.4169,Dec-21,Dec-21,K02000001,United Kingdom,C,C : Manufacturing
96.5725,Dec-21,Dec-21,K02000001,United Kingdom,O--T,O-T : Government and Other Services
102.8957,Dec-21,Dec-21,K02000001,United Kingdom,G,"G : Wholesale, retail and motor trade"
97.7557,Dec-21,Dec-21,K02000001,United Kingdom,G--T,G-T : Index of Services
91.9682,Dec-21,Dec-21,K02000001,United Kingdom,O,O : Public administration and defence
92.4675,Dec-21,Dec-21,K02000001,United Kingdom,J,J : Information and communication
93.7555,Dec-21,Dec-21,K02000001,United Kingdom,M,"M : Professional, scientific and technical activities"
90.7218,Dec-21,Dec-21,K02000001,United Kingdom,H-and-J,"H & J : Transport, Storage and Communications"
99.5245,Dec-21,Dec-21,K02000001,United Kingdom,K--N,K-N : Business Services and Finance
95.8032,Dec-21,Dec-21,K02000001,United Kingdom,N,N : Administrative and support service activities
99.3797,Dec-21,Dec-21,K02000001,United Kingdom,Q,Q : Human health and social work activities
104.3529,Dec-21,Dec-21,K02000001,United Kingdom,T,T : Activities of Households as employers
109.1565,Dec-21,Dec-21,K02000001,United Kingdom,K,K : Financial and insurance activities
94.2179,Dec-21,Dec-21,K02000001,United Kingdom,F,F : Construction
99.9772,Dec-21,Dec-21,K02000001,United Kingdom,A,A : Agriculture
98.3212,Dec-21,Dec-21,K02000001,United Kingdom,A--T,A-T : Monthly GDP
91.1862,Dec-21,Dec-21,K02000001,United Kingdom,I,I : Accommodation and food service activities
91.9276,Dec-21,Dec-21,K02000001,United Kingdom,R,"R : Arts, Entertainment and Recreation"
95.2124,Dec-21,Dec-21,K02000001,United Kingdom,S,S : Other Service Activities
128.6203,Dec-21,Dec-21,K02000001,United Kingdom,D,"D : Electricity, gas steam and air conditioning"
99.6658,Dec-21,Dec-21,K02000001,United Kingdom,E,"E : Water supply, sewerage and waste management"
97.9426,Dec-21,Dec-21,K02000001,United Kingdom,P,P : Education
103.9556,Dec-21,Dec-21,K02000001,United Kingdom,B--E,B-E : Production Industries
99.1003,Nov-21,Nov-21,K02000001,United Kingdom,K--N,K-N : Business Services and Finance
103.6642,Nov-21,Nov-21,K02000001,United Kingdom,G,"G : Wholesale, retail and motor trade"
109.1574,Nov-21,Nov-21,K02000001,United Kingdom,K,K : Financial and insurance activities
100.4431,Nov-21,Nov-21,K02000001,United Kingdom,C,C : Manufacturing
98.8129,Nov-21,Nov-21,K02000001,United Kingdom,L,L : Real estate activities
92.3567,Nov-21,Nov-21,K02000001,United Kingdom,M,"M : Professional, scientific and technical activities"
97.9345,Nov-21,Nov-21,K02000001,United Kingdom,G--T,G-T : Index of Services
133.8438,Nov-21,Nov-21,K02000001,United Kingdom,D,"D : Electricity, gas steam and air conditioning"
99.1688,Nov-21,Nov-21,K02000001,United Kingdom,E,"E : Water supply, sewerage and waste management"
96.7796,Nov-21,Nov-21,K02000001,United Kingdom,P,P : Education
95.7395,Nov-21,Nov-21,K02000001,United Kingdom,N,N : Administrative and support service activities
97.5362,Nov-21,Nov-21,K02000001,United Kingdom,S,S : Other Service Activities
96.4966,Nov-21,Nov-21,K02000001,United Kingdom,O--T,O-T : Government and Other Services
89.8758,Nov-21,Nov-21,K02000001,United Kingdom,H-and-J,"H & J : Transport, Storage and Communications"
85.8864,Nov-21,Nov-21,K02000001,United Kingdom,H,H : Transportation and storage
102.6887,Nov-21,Nov-21,K02000001,United Kingdom,I,I : Accommodation and food service activities
92.3311,Nov-21,Nov-21,K02000001,United Kingdom,J,J : Information and communication
91.5323,Nov-21,Nov-21,K02000001,United Kingdom,O,O : Public administration and defence
99.7281,Nov-21,Nov-21,K02000001,United Kingdom,Q,Q : Human health and social work activities
103.2556,Nov-21,Nov-21,K02000001,United Kingdom,T,T : Activities of Households as employers
96.4777,Nov-21,Nov-21,K02000001,United Kingdom,A,A : Agriculture
93.3341,Nov-21,Nov-21,K02000001,United Kingdom,F,F : Construction
98.518,Nov-21,Nov-21,K02000001,United Kingdom,A--T,A-T : Monthly GDP
103.4031,Nov-21,Nov-21,K02000001,United Kingdom,G-and-I,"G & I : Distribution, Hotels and Restaurants"
92.5096,Nov-21,Nov-21,K02000001,United Kingdom,R,"R : Arts, Entertainment and Recreation"
105.0532,Nov-21,Nov-21,K02000001,United Kingdom,B--E,B-E : Production Industries
124.9262,Nov-21,Nov-21,K02000001,United Kingdom,B,B : Mining and quarrying
104.8023,Oct-21,Oct-21,K02000001,United Kingdom,G-and-I,"G & I : Distribution, Hotels and Restaurants"
98.6489,Oct-21,Oct-21,K02000001,United Kingdom,L,L : Real estate activities
94.1565,Oct-21,Oct-21,K02000001,United Kingdom,N,N : Administrative and support service activities
88.4094,Oct-21,Oct-21,K02000001,United Kingdom,H-and-J,"H & J : Transport, Storage and Communications"
92.1833,Oct-21,Oct-21,K02000001,United Kingdom,J,J : Information and communication
98.6648,Oct-21,Oct-21,K02000001,United Kingdom,T,T : Activities of Households as employers
103.7204,Oct-21,Oct-21,K02000001,United Kingdom,B--E,B-E : Production Industries
98.9446,Oct-21,Oct-21,K02000001,United Kingdom,E,"E : Water supply, sewerage and waste management"
107.8507,Oct-21,Oct-21,K02000001,United Kingdom,K,K : Financial and insurance activities
104.9686,Oct-21,Oct-21,K02000001,United Kingdom,G,"G : Wholesale, retail and motor trade"
90.6364,Oct-21,Oct-21,K02000001,United Kingdom,M,"M : Professional, scientific and technical activities"
99.7361,Oct-21,Oct-21,K02000001,United Kingdom,Q,Q : Human health and social work activities
82.1966,Oct-21,Oct-21,K02000001,United Kingdom,H,H : Transportation and storage
91.4464,Oct-21,Oct-21,K02000001,United Kingdom,O,O : Public administration and defence
104.469,Oct-21,Oct-21,K02000001,United Kingdom,I,I : Accommodation and food service activities
